Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,DATE
1/24/2017,9:45,811832,853020,-4.95,149,13,0,100,3116,1/24/17 9:45
1/24/2017,9:50,811826,849289,-4.51,149,13,0,100,3336,1/24/17 9:50
1/24/2017,9:55,811873,845529,-4.06,149,13,0,100,3427,1/24/17 9:55
1/24/2017,10:00,812078,841578,-3.57,149,13,0,100,3763,1/24/17 10:00
1/24/2017,10:05,812126,837368,-3.06,149,13,0,100,3869,1/24/17 10:05
1/24/2017,10:10,812051,833461,-2.6,148,13,0,100,3519,1/24/17 10:10
1/24/2017,10:15,812215,829800,-2.14,149,13,0,100,3510,1/24/17 10:15
1/24/2017,10:20,812212,825982,-1.68,148,13,0,100,3537,1/24/17 10:20
1/24/2017,10:25,812224,822069,-1.2,149,13,0,100,3632,1/24/17 10:25
1/24/2017,10:30,812145,818160,-0.74,149,13,0,100,3560,1/24/17 10:30
1/24/2017,10:35,812130,814192,-0.25,149,13,0,100,3693,1/24/17 10:35
1/24/2017,10:40,812023,810251,0.22,149,13,0,100,3599,1/24/17 10:40
1/24/2017,10:45,811846,806310,0.68,149,13,0,100,3551,1/24/17 10:45
1/24/2017,10:50,811762,802318,1.17,149,13,0,100,3705,1/24/17 10:50
1/24/2017,10:55,811736,798316,1.67,149,13,0,100,3788,1/24/17 10:55
,,,,,,,,,,
1/24/2017,11:20,920590,884310,4.02,148,15,0,100,,1/24/17 11:20
1/24/2017,11:25,920252,879996,4.47,149,15,0,100,3448,1/24/17 11:25
1/24/2017,11:30,920070,875648,4.95,148,15,0,100,3650,1/24/17 11:30
1/24/2017,11:35,919926,871434,5.42,148,15,0,100,3583,1/24/17 11:35
1/24/2017,11:40,919837,867218,5.89,149,15,0,100,3624,1/24/17 11:40
1/24/2017,11:45,919677,862940,6.37,149,15,0,100,3638,1/24/17 11:45
1/24/2017,11:50,919475,858712,6.84,149,15,0,100,3577,1/24/17 11:50
1/24/2017,11:55,919438,854344,7.34,150,15,0,100,3832,1/24/17 11:55
1/24/2017,12:00,919378,849928,7.85,149,15,0,100,3901,1/24/17 12:00
1/24/2017,12:05,919332,845515,8.37,149,15,0,100,3931,1/24/17 12:05
1/24/2017,12:10,919305,841294,8.87,149,15,0,100,3793,1/24/17 12:10
1/24/2017,12:15,919235,836928,9.38,149,15,0,100,3909,1/24/17 12:15
1/24/2017,12:20,919154,832481,9.9,149,15,0,100,3995,1/24/17 12:20
1/24/2017,12:25,919038,827841,10.45,149,15,0,100,4165,1/24/17 12:25
1/24/2017,12:30,918969,823359,10.99,149,15,0,100,4082,1/24/17 12:30
1/24/2017,12:35,919129,818855,11.55,149,15,0,100,4315,1/24/17 12:35
1/24/2017,12:40,919078,813997,12.14,148,15,0,100,4525,1/24/17 12:40
1/24/2017,12:45,918977,809446,12.69,149,15,0,100,4191,1/24/17 12:45
1/24/2017,12:50,918874,804991,13.23,149,15,0,100,4122,1/24/17 12:50
1/24/2017,12:55,918922,800557,13.79,149,15,0,100,4251,1/24/17 12:55
1/24/2017,13:00,918990,796109,14.35,149,15,0,100,4304,1/24/17 13:00
